Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21100886132;"Science Robotics";journal;"24709476";6,569;Q1;66;121;251;5334;4907;209;17,02;44,08;United States;Northern America;"American Association for the Advancement of Science";"2016-2021";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)"
2;18935;"IEEE Wireless Communications";journal;"15361284";6,060;Q1;169;167;428;2185;5495;400;13,43;13,08;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2021";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
3;21100831443;"Nature Biomedical Engineering";journal;"2157846X";5,635;Q1;75;164;435;8679;6564;318;13,92;52,92;United States;Northern America;"Nature Publishing Group";"2017-2021";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)"
4;17249;"IEEE Communications Magazine";journal;"01636804";5,147;Q1;260;234;804;2797;8835;684;9,00;11,95;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1979-2021";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
5;21100200203;"Wiley Interdisciplinary Reviews: Computational Molecular Science";journal;"17590876, 17590884";4,903;Q1;86;74;118;12057;2680;117;9,54;162,93;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2021";"Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
6;21100274221;"IEEE Transactions on Cybernetics";journal;"21682275, 21682267";4,506;Q1;140;1268;1208;25123;14237;1159;11,78;19,81;United States;Northern America;"IEEE Advancing Technology for Humanity";"2013-2021";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)"
7;12402;"MIS Quarterly: Management Information Systems";journal;"02767783, 21629730";4,495;Q1;243;50;187;4843;1782;184;8,55;96,86;United States;Northern America;"Management Information Systems Research Center";"1980-2021";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)"
8;18933;"IEEE Transactions on Wireless Communications";journal;"15361276";4,436;Q1;224;751;1608;23876;14551;1607;9,60;31,79;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2021";"Applied Mathematics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
9;15700;"Journal of Management Information Systems";journal;"1557928X, 07421222";4,365;Q1;153;46;137;3284;1368;125;6,91;71,39;United States;Northern America;"M.E. Sharpe Inc.";"1987-2021";"Computer Science Applications (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)"
10;144912;"IEEE Transactions on Industrial Informatics";journal;"15513203";4,333;Q1;151;1042;1856;24686;23391;1804;12,03;23,69;United States;Northern America;"IEEE Computer Society";"2005-2021";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Information Systems (Q1)"
11;21100235616;"IEEE Transactions on Neural Networks and Learning Systems";journal;"2162237X, 21622388";4,222;Q1;221;1317;1358;23530;15011;1349;10,47;17,87;United States;Northern America;"IEEE Computational Intelligence Society";"2012-2021";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1)"
12;17339;"IEEE Transactions on Automatic Control";journal;"00189286, 15582523";4,172;Q1;300;883;1492;18671;9824;1490;6,12;21,14;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2021";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
13;16733;"IEEE Transactions on Medical Imaging";journal;"02780062, 1558254X";4,045;Q1;233;376;902;16400;11904;898;12,02;43,62;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982-2021";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Radiological and Ultrasound Technology (Q1); Software (Q1)"
14;16965;"Internet and Higher Education";journal;"10967516";3,906;Q1;99;28;68;1991;875;68;10,80;71,11;United Kingdom;Western Europe;"Elsevier BV";"1998-2022";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)"
15;21100338350;"IEEE Internet of Things Journal";journal;"23274662";3,848;Q1;119;1959;2373;62326;27738;2328;10,98;31,82;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2014-2021";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1); Signal Processing (Q1)"
16;22238;"Operations Research";journal;"0030364X, 15265463";3,615;Q1;145;103;307;4306;1029;307;3,22;41,81;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2021";"Computer Science Applications (Q1); Management Science and Operations Research (Q1)"
17;26053;"IEEE Transactions on Industrial Electronics";journal;"02780046";3,519;Q1;304;1645;2889;37343;27966;2871;9,05;22,70;United States;Northern America;"";"1969-1978, 1982-2021";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
18;29161;"ISPRS Journal of Photogrammetry and Remote Sensing";journal;"09242716";3,481;Q1;155;253;743;16381;9054;733;11,91;64,75;Netherlands;Western Europe;"Elsevier";"1989-2021";"Atomic and Molecular Physics, and Optics (Q1); Computer Science Applications (Q1); Computers in Earth Sciences (Q1); Engineering (miscellaneous) (Q1); Geography, Planning and Development (Q1)"
19;95101;"IEEE Transactions on Robotics";journal;"15523098";3,458;Q1;168;204;353;7201;3354;351;7,91;35,30;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992, 2004-2021";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
20;21100262320;"IEEE Transactions on Systems, Man, and Cybernetics: Systems";journal;"21682216, 21682232";3,448;Q1;97;1018;917;32249;9188;910;8,82;31,68;United States;Northern America;"IEEE Advancing Technology for Humanity";"2011, 2014-2019";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)"
21;17945;"Bioinformatics";journal;"13674811, 13674803";3,400;Q1;415;598;2961;16641;23999;2947;6,64;27,83;United Kingdom;Western Europe;"Oxford University Press";"1985-2021";"Biochemistry (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Statistics and Probability (Q1)"
22;19169;"Journal of Operations Management";journal;"02726963";3,363;Q1;199;44;114;3872;894;106;6,36;88,00;Netherlands;Western Europe;"John Wiley &amp; Sons Inc.";"1980-1991, 1993-2021";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
23;20893;"Transportation Research Part C: Emerging Technologies";journal;"0968090X";3,211;Q1;147;423;922;24502;9912;910;9,69;57,92;United Kingdom;Western Europe;"Elsevier Ltd.";"1993-2021";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Transportation (Q1)"
24;18144;"Computer-Aided Civil and Infrastructure Engineering";journal;"14678667, 10939687";3,134;Q1;89;146;241;7736;2747;211;9,47;52,99;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2021";"Civil and Structural Engineering (Q1); Computational Theory and Mathematics (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1)"
25;21100850798;"npj Computational Materials";journal;"20573960";2,967;Q1;49;205;390;13046;4466;390;10,76;63,64;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2021";"Computer Science Applications (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Modeling and Simulation (Q1)"
26;18080;"Robotics and Computer-Integrated Manufacturing";journal;"07365845";2,873;Q1;99;151;427;6739;4365;426;10,96;44,63;United Kingdom;Western Europe;"Elsevier Ltd.";"1984-1994, 1996-2022";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mathematics (miscellaneous) (Q1); Software (Q1)"
27;21080;"Mechanical Systems and Signal Processing";journal;"08883270, 10961216";2,768;Q1;180;865;2044;38706;19545;2030;9,09;44,75;United States;Northern America;"Academic Press Inc.";"1987-2022";"Aerospace Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Mechanical Engineering (Q1); Signal Processing (Q1)"
28;16211;"IEEE Transactions on Multimedia";journal;"15209210";2,735;Q1;135;669;759;19540;6187;754;7,27;29,21;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1999-2021";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Media Technology (Q1); Signal Processing (Q1)"
29;18300156728;"IEEE Transactions on Services Computing";journal;"19391374";2,714;Q1;77;296;294;6739;2105;283;7,14;22,77;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2008-2021";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems and Management (Q1)"
30;21100420802;"GigaScience";journal;"2047217X";2,568;Q1;64;120;469;5661;3500;432;6,90;47,18;United Kingdom;Western Europe;"Oxford University Press";"2012-2021";"Computer Science Applications (Q1); Health Informatics (Q1)"
31;21100451321;"Scientific data";journal;"20524463";2,468;Q1;80;295;1088;14657;8945;418;7,70;49,68;United Kingdom;Western Europe;"Nature Publishing Group";"2014-2021";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
32;17362;"IEEE Transactions on Knowledge and Data Engineering";journal;"10414347";2,431;Q1;183;615;631;12772;4435;614;6,09;20,77;United States;Northern America;"IEEE Computer Society";"1989-2021";"Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Information Systems (Q1)"
33;18232;"Journal of Computer-Mediated Communication";journal;"10836101";2,369;Q1;126;0;41;0;282;40;6,18;0,00;United States;Northern America;"Wiley-Blackwell";"1995-2020";"Computer Networks and Communications (Q1); Computer Science Applications (Q1)"
34;4700152301;"Journal of Field Robotics";journal;"15564967, 15564959";2,342;Q1;100;53;205;2686;1526;195;8,21;50,68;United States;Northern America;"John Wiley &amp; Sons Inc.";"2006-2021";"Computer Science Applications (Q1); Control and Systems Engineering (Q1)"
35;15134;"Information Sciences";journal;"00200255";2,290;Q1;194;1290;2515;57212;20851;2502;8,51;44,35;United States;Northern America;"Elsevier Inc.";"1968-2022";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1)"
36;13300154706;"Journal of the Association for Information Systems";journal;"15583457, 15369323";2,248;Q1;85;62;170;5776;1130;145;5,57;93,16;United States;Northern America;"Association for Information Systems";"2007-2021";"Computer Science Applications (Q1); Information Systems (Q1)"
37;27277;"Journal of Network and Computer Applications";journal;"10958592, 10848045";2,193;Q1;115;175;631;14049;5674;624;9,29;80,28;United States;Northern America;"Academic Press Inc.";"1996-2021";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1)"
38;18158;"Computer Methods in Applied Mechanics and Engineering";journal;"00457825";2,179;Q1;205;599;1712;35215;11401;1710;6,51;58,79;Netherlands;Western Europe;"Elsevier";"1972-2021";"Computational Mechanics (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)"
